id,text,is_bullying,label
sent_0001,"bakat ga ada kampungan, plis deh ilang aja.",1,cyber_stalking
sent_0002,"baju lu ga mutu, mending hapus akun.",1,hate_speech
sent_0003,"bakat ga ada sok asik, mending hapus akun.",1,harassment
sent_0004,"baju lu bikin enek, bikin sampah doang.",1,body_shaming
sent_0005,"bakat ga ada jelek banget, mending hapus akun.",1,body_shaming
sent_0006,"muka lu pansos doang, ngaca dulu deh.",1,cyber_stalking
sent_0007,"otak cetek pansos doang, ngaca dulu deh.",1,harassment
sent_0008,"bakat ga ada bikin enek, ngaca dulu deh.",1,hate_speech
sent_0009,"konten lu bikin enek, mending hapus akun.",1,harassment
sent_0010,"akting lu bikin enek, ngaca dulu deh.",1,harassment
sent_0011,"bakat ga ada bikin enek, ngaca dulu deh.",1,hate_speech
sent_0012,"bakat ga ada pansos doang, plis deh ilang aja.",1,body_shaming
sent_0013,"muka lu bikin enek, mending hapus akun.",1,body_shaming
sent_0014,"bakat ga ada bikin enek, ga usah sok ngartis.",1,cyber_stalking
sent_0015,"muka lu jelek banget, plis deh ilang aja.",1,cyber_stalking
sent_0016,"bakat ga ada bikin enek, ga usah sok ngartis.",1,body_shaming
sent_0017,"konten lu kampungan, plis deh ilang aja.",1,hate_speech
sent_0018,"muka lu bikin enek, bikin sampah doang.",1,body_shaming
sent_0019,"akting lu sok asik, mending hapus akun.",1,cyber_stalking
sent_0020,"akting lu sok asik, ngaca dulu deh.",1,harassment
sent_0021,"akting lu pansos doang, mending hapus akun.",1,body_shaming
sent_0022,"bakat ga ada ga mutu, mending hapus akun.",1,harassment
sent_0023,"konten lu ga mutu, plis deh ilang aja.",1,hate_speech
sent_0024,"otak cetek ga mutu, mending hapus akun.",1,hate_speech
sent_0025,"konten lu sok asik, mending hapus akun.",1,hate_speech
sent_0026,"baju lu ga mutu, mending hapus akun.",1,cyber_stalking
sent_0027,"muka lu jelek banget, plis deh ilang aja.",1,cyber_stalking
sent_0028,"konten lu bikin enek, plis deh ilang aja.",1,body_shaming
sent_0029,"konten lu pansos doang, ngaca dulu deh.",1,body_shaming
sent_0030,"akting lu sok asik, plis deh ilang aja.",1,hate_speech
sent_0031,"baju lu kampungan, mending hapus akun.",1,cyber_stalking
sent_0032,"bakat ga ada pansos doang, mending hapus akun.",1,body_shaming
sent_0033,"konten lu kampungan, ngaca dulu deh.",1,body_shaming
sent_0034,"otak cetek jelek banget, ga usah sok ngartis.",1,hate_speech
sent_0035,"otak cetek kampungan, bikin sampah doang.",1,body_shaming
sent_0036,"konten lu bikin enek, plis deh ilang aja.",1,harassment
sent_0037,"otak cetek bikin enek, ga usah sok ngartis.",1,cyber_stalking
sent_0038,"baju lu pansos doang, ngaca dulu deh.",1,cyber_stalking
sent_0039,"baju lu jelek banget, bikin sampah doang.",1,hate_speech
sent_0040,"konten lu kampungan, mending hapus akun.",1,hate_speech
sent_0041,"akting lu ga mutu, mending hapus akun.",1,cyber_stalking
sent_0042,"muka lu ga mutu, plis deh ilang aja.",1,cyber_stalking
sent_0043,"akting lu sok asik, ngaca dulu deh.",1,body_shaming
